DATA FOR FINALS
setpoint 40, starting temp 23.90
2024/12/09 11:26:44

23.90, 2024/12/09 11:28:19, 16.10, 16.10
23.82, 2024/12/09 11:28:22, 16.18, 32.28
23.90, 2024/12/09 11:28:25, 16.10, 48.38
23.82, 2024/12/09 11:28:28, 16.18, 64.56
23.90, 2024/12/09 11:28:31, 16.10, 80.66
23.90, 2024/12/09 11:28:34, 16.10, 96.75
23.82, 2024/12/09 11:28:37, 16.18, 112.93
23.82, 2024/12/09 11:28:40, 16.18, 129.12
23.82, 2024/12/09 11:28:43, 16.18, 145.30
23.82, 2024/12/09 11:28:46, 16.18, 161.49
24.08, 2024/12/09 11:28:49, 15.92, 177.41
24.08, 2024/12/09 11:28:52, 15.92, 193.33
24.17, 2024/12/09 11:28:55, 15.83, 209.16
24.34, 2024/12/09 11:28:58, 15.66, 224.82
24.60, 2024/12/09 11:29:01, 15.40, 240.22
24.78, 2024/12/09 11:29:04, 15.22, 255.44
25.04, 2024/12/09 11:29:07, 14.96, 270.39
25.48, 2024/12/09 11:29:10, 14.52, 284.91
25.75, 2024/12/09 11:29:13, 14.25, 299.16
26.10, 2024/12/09 11:29:16, 13.90, 313.05
26.55, 2024/12/09 11:29:19, 13.45, 326.50
26.91, 2024/12/09 11:29:22, 13.09, 339.60
27.35, 2024/12/09 11:29:25, 12.65, 352.25
27.89, 2024/12/09 11:29:28, 12.11, 364.35
28.34, 2024/12/09 11:29:31, 11.66, 376.01
28.80, 2024/12/09 11:29:34, 11.20, 387.22
29.43, 2024/12/09 11:29:37, 10.57, 397.78
29.99, 2024/12/09 11:29:40, 10.01, 407.80
30.63, 2024/12/09 11:29:43, 9.37, 417.16
31.28, 2024/12/09 11:29:46, 8.72, 425.88
32.13, 2024/12/09 11:29:49, 7.87, 433.75
32.79, 2024/12/09 11:29:52, 7.21, 440.96
33.66, 2024/12/09 11:29:55, 6.34, 447.30
34.53, 2024/12/09 11:29:58, 5.47, 452.77
35.32, 2024/12/09 11:30:01, 4.68, 457.46
36.11, 2024/12/09 11:30:04, 3.89, 461.34
37.02, 2024/12/09 11:30:07, 2.98, 464.32
37.84, 2024/12/09 11:30:10, 2.16, 466.48
38.46, 2024/12/09 11:30:13, 1.54, 468.02
39.30, 2024/12/09 11:30:16, 0.70, 468.72
40.15, 2024/12/09 11:30:19, -0.15, 468.88
41.02, 2024/12/09 11:30:22, -1.02, 469.90
42.13, 2024/12/09 11:30:25, -2.13, 472.02
42.91, 2024/12/09 11:30:28, -2.91, 474.94
43.83, 2024/12/09 11:30:31, -3.83, 478.77
44.77, 2024/12/09 11:30:34, -4.77, 483.53
45.60, 2024/12/09 11:30:37, -5.60, 489.13
46.69, 2024/12/09 11:30:40, -6.69, 495.82
47.19, 2024/12/09 11:30:43, -7.19, 503.01
48.20, 2024/12/09 11:30:46, -8.20, 511.21
48.84, 2024/12/09 11:30:49, -8.84, 520.05
49.49, 2024/12/09 11:30:52, -9.49, 529.54
50.15, 2024/12/09 11:30:55, -10.15, 539.69
50.42, 2024/12/09 11:30:58, -10.42, 550.11
50.96, 2024/12/09 11:31:01, -10.96, 561.07
50.82, 2024/12/09 11:31:04, -10.82, 571.89
51.10, 2024/12/09 11:31:07, -11.10, 582.99
51.23, 2024/12/09 11:31:10, -11.23, 594.22
51.37, 2024/12/09 11:31:13, -11.37, 605.60
51.37, 2024/12/09 11:31:16, -11.37, 616.97
51.65, 2024/12/09 11:31:19, -11.65, 628.61
51.51, 2024/12/09 11:31:22, -11.51, 640.12
51.79, 2024/12/09 11:31:25, -11.79, 651.91
51.92, 2024/12/09 11:31:28, -11.92, 663.83
51.92, 2024/12/09 11:31:31, -11.92, 675.76
52.20, 2024/12/09 11:31:34, -12.20, 687.96
52.34, 2024/12/09 11:31:37, -12.34, 700.31
52.34, 2024/12/09 11:31:40, -12.34, 712.65
52.20, 2024/12/09 11:31:43, -12.20, 724.86
52.06, 2024/12/09 11:31:46, -12.06, 736.92
51.92, 2024/12/09 11:31:49, -11.92, 748.84
51.79, 2024/12/09 11:31:52, -11.79, 760.63
51.65, 2024/12/09 11:31:55, -11.65, 772.28
51.37, 2024/12/09 11:31:58, -11.37, 783.65
51.23, 2024/12/09 11:32:01, -11.23, 794.88
50.96, 2024/12/09 11:32:04, -10.96, 805.84
50.55, 2024/12/09 11:32:07, -10.55, 816.40
50.42, 2024/12/09 11:32:10, -10.42, 826.82
50.42, 2024/12/09 11:32:13, -10.42, 837.24
50.29, 2024/12/09 11:32:16, -10.29, 847.52
50.02, 2024/12/09 11:32:19, -10.02, 857.54
49.62, 2024/12/09 11:32:22, -9.62, 867.16
49.36, 2024/12/09 11:32:25, -9.36, 876.52
49.23, 2024/12/09 11:32:28, -9.23, 885.75
49.10, 2024/12/09 11:32:31, -9.10, 894.85
49.10, 2024/12/09 11:32:34, -9.10, 903.94
48.71, 2024/12/09 11:32:37, -8.71, 912.65
48.20, 2024/12/09 11:32:40, -8.20, 920.85
47.56, 2024/12/09 11:32:43, -7.56, 928.41
47.31, 2024/12/09 11:32:46, -7.31, 935.72
47.06, 2024/12/09 11:32:49, -7.06, 942.79
46.69, 2024/12/09 11:32:52, -6.69, 949.48
46.20, 2024/12/09 11:32:55, -6.20, 955.69
46.08, 2024/12/09 11:32:58, -6.08, 961.77
45.72, 2024/12/09 11:33:01, -5.72, 967.49
45.36, 2024/12/09 11:33:04, -5.36, 972.85
45.00, 2024/12/09 11:33:07, -5.00, 977.85
44.65, 2024/12/09 11:33:10, -4.65, 982.49
44.41, 2024/12/09 11:33:13, -4.41, 986.91
44.06, 2024/12/09 11:33:16, -4.06, 990.97
43.83, 2024/12/09 11:33:19, -3.83, 994.80
43.48, 2024/12/09 11:33:22, -3.48, 998.29
43.37, 2024/12/09 11:33:25, -3.37, 1001.66
43.14, 2024/12/09 11:33:28, -3.14, 1004.80
