DATA FOR FINALS
setpoint 40, starting temp 23.90
2024/12/09 11:26:44

42.91, 2024/12/09 11:33:31, -2.91, 1007.71
42.80, 2024/12/09 11:33:34, -2.80, 1010.51
42.46, 2024/12/09 11:33:37, -2.46, 1012.97
42.24, 2024/12/09 11:33:40, -2.24, 1015.21
42.01, 2024/12/09 11:33:43, -2.01, 1017.23
41.79, 2024/12/09 11:33:46, -1.79, 1019.02
41.68, 2024/12/09 11:33:49, -1.68, 1020.70
41.35, 2024/12/09 11:33:52, -1.35, 1022.05
41.13, 2024/12/09 11:33:55, -1.13, 1023.18
40.80, 2024/12/09 11:33:58, -0.80, 1023.98
40.48, 2024/12/09 11:34:01, -0.48, 1024.46
40.26, 2024/12/09 11:34:04, -0.26, 1024.72
39.83, 2024/12/09 11:34:07, 0.17, 1024.89
